r_m,h_y1,t_g,Bg_mT
2.0,4.0,1.0,162.71
2.0,4.0,2.0,115.43
2.0,4.0,3.0,87.1
2.0,8.0,1.0,97.32
2.0,8.0,2.0,74.55
2.0,8.0,3.0,59.63
2.0,12.0,1.0,69.73
2.0,12.0,2.0,53.58
2.0,12.0,3.0,43.58
2.0,16.0,1.0,54.1
2.0,16.0,2.0,42.79
2.0,16.0,3.0,34.67
3.5,4.0,1.0,291.53
3.5,4.0,2.0,215.31
3.5,4.0,3.0,168.54
3.5,8.0,1.0,177.55
3.5,8.0,2.0,140.68
3.5,8.0,3.0,116.25
3.5,12.0,1.0,127.64
3.5,12.0,2.0,104.24
3.5,12.0,3.0,87.69
3.5,16.0,1.0,99.42
3.5,16.0,2.0,82.99
3.5,16.0,3.0,71.43
5.0,4.0,1.0,415.24
5.0,4.0,2.0,308.25
5.0,4.0,3.0,247.09
5.0,8.0,1.0,256.34
5.0,8.0,2.0,206.16
5.0,8.0,3.0,173.07
5.0,12.0,1.0,184.64
5.0,12.0,2.0,154.47
5.0,12.0,3.0,132.96
5.0,16.0,1.0,144.68
5.0,16.0,2.0,123.47
5.0,16.0,3.0,108.05
6.5,4.0,1.0,532.3
6.5,4.0,2.0,399.66
6.5,4.0,3.0,321.49
6.5,8.0,1.0,332.63
6.5,8.0,2.0,271.63
6.5,8.0,3.0,229.35
6.5,12.0,1.0,241.55
6.5,12.0,2.0,204.29
6.5,12.0,3.0,176.81
6.5,16.0,1.0,189.53
6.5,16.0,2.0,163.45
6.5,16.0,3.0,144.31
