r_m,h_y1,t_g,Bg_mT
5,2,1.2,665.2930284074075
5,3.5,1.2,509.0832893609191
5,5,1.2,412.2588494486103
5,7,1.2,327.52585016809724
6,2,1.2,787.1134530138255
6,3.5,1.2,606.70542874694
6,5,1.2,491.90709337984794
6,7,1.2,393.1105141347241
7,2,1.2,906.3710642137065
7,3.5,1.2,701.1029523741785
7,5,1.2,572.2381548883282
7,7,1.2,459.2730016231587
8,2,1.2,1019.8437395196424
8,3.5,1.2,794.6205201092284
8,5,1.2,650.9485245633908
8,7,1.2,521.3216950917164
5,2,1.6,569.8462118326993
5,3.5,1.6,448.6847768616791
5,5,1.6,369.53497413992244
5,7,1.6,298.87102264827644
6,2,1.6,674.4682349791664
6,3.5,1.6,537.4971617690836
6,5,1.6,443.0182396767895
6,7,1.6,358.43164522898144
7,2,1.6,770.7372091485721
7,3.5,1.6,619.8642454788128
7,5,1.6,515.6526304829463
7,7,1.6,420.7146426039176
5,2,2.0,495.7421469855001
5,3.5,2.0,402.54824310896515
5,5,2.0,337.1206950917689
5,7,2.0,274.2212148769968
6,2,2.0,585.5892964720157
6,3.5,2.0,481.4149026172878
6,5,2.0,403.7484069087955
6,7,2.0,331.17271545496567
7,2,2.0,674.1834285154562
7,3.5,2.0,556.2151836559832
7,5,2.0,469.32808943237654
7,7,2.0,387.8024084332224
5,2,2.5,424.8032269647649
5,3.5,2.5,355.46423163187137
5,5,2.5,302.0525169915568
5,7,2.5,250.35980852044554
6,2,2.5,503.9028951033069
6,3.5,2.5,424.6852401303973
6,5,2.5,362.4652127919165
6,7,2.5,302.4124687570842
